experiment,arm,sweep,rate,repeat,metric,value
throughput,dispatcher,cw16,,2,warm_eps,38142.817
throughput,dispatcher,cw16,,3,warm_eps,38968.828
throughput,dispatcher,cw16,,1,warm_eps,38572.128
throughput,edge,cap256,,2,warm_eps,61580.554
throughput,edge,cap256,,3,warm_eps,59792.384
throughput,edge,cap256,,1,warm_eps,61044.527
latency,dispatcher,,120000,2,e2e_p50,7080.36089
latency,dispatcher,,120000,2,e2e_p99,9284.20901
latency,dispatcher,,120000,2,e2e_p999,9453.2268
latency,dispatcher,,120000,3,e2e_p50,7651.27611
latency,dispatcher,,120000,3,e2e_p99,996418.12801
latency,dispatcher,,120000,3,e2e_p999,996599.73407
latency,dispatcher,,120000,1,e2e_p50,7118.83402
latency,dispatcher,,120000,1,e2e_p99,9407.67717
latency,dispatcher,,120000,1,e2e_p999,9491.7171
latency,dispatcher,,60000,2,e2e_p50,6024.84703
latency,dispatcher,,60000,2,e2e_p99,8851.79806
latency,dispatcher,,60000,2,e2e_p999,8969.2111
latency,dispatcher,,60000,3,e2e_p50,5935.47106
latency,dispatcher,,60000,3,e2e_p99,8069.63897
latency,dispatcher,,60000,3,e2e_p999,8146.32702
latency,dispatcher,,60000,1,e2e_p50,6063.48085
latency,dispatcher,,60000,1,e2e_p99,8654.64687
latency,dispatcher,,60000,1,e2e_p999,8755.97787
latency,dispatcher,,20000,2,e2e_p50,0.72694
latency,dispatcher,,20000,2,e2e_p99,1.32585
latency,dispatcher,,20000,2,e2e_p999,17.14396
latency,dispatcher,,20000,3,e2e_p50,0.72312
latency,dispatcher,,20000,3,e2e_p99,1.25217
latency,dispatcher,,20000,3,e2e_p999,13.32998
latency,dispatcher,,20000,1,e2e_p50,0.71192
latency,dispatcher,,20000,1,e2e_p99,1.25504
latency,dispatcher,,20000,1,e2e_p999,9.56488
latency,edge,,120000,2,e2e_p50,3248.77501
latency,edge,,120000,2,e2e_p99,4049.73292
latency,edge,,120000,2,e2e_p999,4194.4561
latency,edge,,120000,3,e2e_p50,3125.44489
latency,edge,,120000,3,e2e_p99,4022.88079
latency,edge,,120000,3,e2e_p999,4091.21203
latency,edge,,120000,1,e2e_p50,3225.13008
latency,edge,,120000,1,e2e_p99,4062.994
latency,edge,,120000,1,e2e_p999,4105.74889
latency,edge,,60000,2,e2e_p50,534.16514
latency,edge,,60000,2,e2e_p99,867.42711
latency,edge,,60000,2,e2e_p999,869.00496
latency,edge,,60000,3,e2e_p50,602.8111
latency,edge,,60000,3,e2e_p99,930.09305
latency,edge,,60000,3,e2e_p999,932.19709
latency,edge,,60000,1,e2e_p50,724.231
latency,edge,,60000,1,e2e_p99,973.68908
latency,edge,,60000,1,e2e_p999,975.07596
latency,edge,,20000,2,e2e_p50,0.42009
latency,edge,,20000,2,e2e_p99,979.60687
latency,edge,,20000,2,e2e_p999,1070.98103
latency,edge,,20000,3,e2e_p50,0.37599
latency,edge,,20000,3,e2e_p99,0.71383
latency,edge,,20000,3,e2e_p999,4.09698
latency,edge,,20000,1,e2e_p50,0.40483
latency,edge,,20000,1,e2e_p99,38.43188
latency,edge,,20000,1,e2e_p999,105.8569
